2026-05-18T16:40:55 UTC | INFO     | main | ============================================================
2026-05-18T16:40:55 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-05-18T16:40:55 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-05-18T16:40:55 UTC | INFO     | main | ============================================================
2026-05-18T16:40:55 UTC | INFO     | main | [SCHEDULER] Time gate passed — matched slot 11:45-13:15
2026-05-18T16:40:55 UTC | WARNING  | main | Validated tickers file is 69 days old (limit 30). Consider re-running validate_tickers.py.
2026-05-18T16:40:55 UTC | INFO     | main | Run slot: 11:45-13:15
2026-05-18T16:40:55 UTC | INFO     | state_manager | New trading day (2026-05-18) — resetting state
2026-05-18T16:40:56 UTC | INFO     | market_collector | Index dow: 49508.36 Flat (-0.04%)
2026-05-18T16:40:56 UTC | INFO     | market_collector | Index sp500: 7375.02 Falling (-0.45%)
2026-05-18T16:40:56 UTC | INFO     | market_collector | Index nasdaq: 25985.80 Falling (-0.91%)
2026-05-18T16:40:56 UTC | INFO     | market_regime | VIX fetched: 18.47
2026-05-18T16:40:56 UTC | INFO     | market_regime | Regime: normal vix=18.47 risk_mult=1.0 opp_mult=1.0
2026-05-18T16:40:56 UTC | INFO     | main | Regime: normal vix=18.47
2026-05-18T16:41:28 UTC | INFO     | market_breadth | Market breadth: 82/130 advancing (0.63) — strong breadth — most stocks rising
2026-05-18T16:41:28 UTC | INFO     | spy_sma | [SPY] price=735.61 sma200=673.88 above=True
2026-05-18T16:41:34 UTC | INFO     | market_breadth | [B200] 77/125 above 200d SMA = 61.6%
2026-05-18T16:41:34 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=3 spy_above=True vix=18.47 breadth_pct=61.6
2026-05-18T16:41:34 UTC | INFO     | main | [MR] market_regime=BULL score=3 breadth_pct=61.6
2026-05-18T16:41:35 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 8/10 = 0.80 (sector is genuinely strong)
2026-05-18T16:41:36 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 10/10 = 1.00 (sector is genuinely strong)
