2026-03-16T15:39:50 UTC | INFO     | main | ============================================================
2026-03-16T15:39:50 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-03-16T15:39:50 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-03-16T15:39:50 UTC | INFO     | main | ============================================================
2026-03-16T15:39:50 UTC | WARNING  | main | Could not determine slot from time — defaulting to 10:30
2026-03-16T15:39:50 UTC | INFO     | main | Run slot: 10:30
2026-03-16T15:39:50 UTC | INFO     | state_manager | New trading day (2026-03-16) — resetting state
2026-03-16T15:39:54 UTC | INFO     | market_collector | Index dow: 47067.48 Rising (+1.09%)
2026-03-16T15:39:54 UTC | INFO     | market_collector | Index sp500: 6712.92 Rising (+1.22%)
2026-03-16T15:39:54 UTC | INFO     | market_collector | Index nasdaq: 22425.81 Rising (+1.45%)
2026-03-16T15:39:54 UTC | INFO     | market_regime | VIX fetched: 23.63
2026-03-16T15:39:54 UTC | INFO     | market_regime | Regime: normal vix=23.63 risk_mult=1.0 opp_mult=1.0
2026-03-16T15:39:54 UTC | INFO     | main | Regime: normal vix=23.63
2026-03-16T15:40:27 UTC | INFO     | market_breadth | Market breadth: 104/130 advancing (0.80) — strong breadth — most stocks rising
2026-03-16T15:40:28 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 0/10 = 0.00 (sector is structurally weak)
2026-03-16T15:40:29 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 2/10 = 0.20 (sector is structurally weak)
2026-03-16T15:40:30 UTC | INFO     | sector_breadth_ma | Sector breadth MA healthcare: 5/10 = 0.50 (mixed signals)
2026-03-16T15:40:31 UTC | INFO     | sector_breadth_ma | Sector breadth MA financials: 1/10 = 0.10 (sector is structurally weak)
2026-03-16T15:40:33 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_discretionary: 3/10 = 0.30 (mixed signals)
2026-03-16T15:40:35 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_staples: 7/10 = 0.70 (healthy participation)
2026-03-16T15:40:37 UTC | INFO     | sector_breadth_ma | Sector breadth MA industrials: 6/10 = 0.60 (healthy participation)
2026-03-16T15:40:38 UTC | INFO     | sector_breadth_ma | Sector breadth MA defense: 3/10 = 0.30 (mixed signals)
2026-03-16T15:40:39 UTC | INFO     | sector_breadth_ma | Sector breadth MA energy: 9/10 = 0.90 (sector is genuinely strong)
2026-03-16T15:40:40 UTC | INFO     | sector_breadth_ma | Sector breadth MA materials: 4/10 = 0.40 (mixed signals)
2026-03-16T15:40:42 UTC | INFO     | sector_breadth_ma | Sector breadth MA utilities: 10/10 = 1.00 (sector is genuinely strong)
2026-03-16T15:40:43 UTC | INFO     | sector_breadth_ma | Sector breadth MA real_estate: 5/10 = 0.50 (mixed signals)
2026-03-16T15:40:44 UTC | INFO     | sector_breadth_ma | Sector breadth MA communication_services: 6/10 = 0.60 (healthy participation)
2026-03-16T15:40:47 UTC | INFO     | sector_momentum | Top 5 sectors: ['energy', 'utilities', 'semiconductors', 'technology', 'real_estate']
2026-03-16T15:40:47 UTC | INFO     | sector_momentum | Sector momentum history updated (1 entries)
2026-03-16T15:40:47 UTC | INFO     | sector_rotation_speed | Rotation speed: not enough history yet — skipping
2026-03-16T15:40:48 UTC | INFO     | news_collector | reuters RSS: fetched 0 articles
2026-03-16T15:40:48 UTC | INFO     | news_collector | ft RSS: fetched 11 articles
2026-03-16T15:40:48 UTC | INFO     | news_collector | Finnhub: fetched 100 articles
2026-03-16T15:40:48 UTC | INFO     | news_collector | Filter: 111 raw → 49 passed
2026-03-16T15:40:48 UTC | INFO     | news_collector | Dedup: 49 → 49 articles
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: financials score=18.7 headlines=7
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: real_estate score=14.9 headlines=6
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: consumer_discretionary score=33.3 headlines=15
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: utilities score=17.9 headlines=9
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: consumer_staples score=7.2 headlines=4
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: technology score=14.8 headlines=8
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: energy score=13.1 headlines=6
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: materials score=10.6 headlines=6
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: industrials score=12.6 headlines=6
2026-03-16T15:40:48 UTC | INFO     | news_collector | Sector confirmed: defense score=6.5 headlines=3
2026-03-16T15:40:48 UTC | INFO     | news_collector | Confirmed sectors: ['financials', 'real_estate', 'consumer_discretionary', 'utilities', 'consumer_staples', 'technology', 'energy', 'materials', 'industrials', 'defense']
2026-03-16T15:40:48 UTC | INFO     | main | News: 49 articles, 10 candidate sectors
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | SPY day move: 1.17%
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [financials]: sources=7 kw=18.7 spy=1.17% → impact=0.857 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [real_estate]: sources=6 kw=14.9 spy=1.17% → impact=0.800 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [consumer_discretionary]: sources=15 kw=33.3 spy=1.17% → impact=0.876 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [utilities]: sources=9 kw=17.9 spy=1.17% → impact=0.845 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [consumer_staples]: sources=4 kw=7.2 spy=1.17% → impact=0.683 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [technology]: sources=8 kw=14.8 spy=1.17% → impact=0.797 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [energy]: sources=6 kw=13.1 spy=1.17% → impact=0.772 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [materials]: sources=6 kw=10.6 spy=1.17% → impact=0.734 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [industrials]: sources=6 kw=12.6 spy=1.17% → impact=0.764 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact [defense]: sources=3 kw=6.5 spy=1.17% → impact=0.674 ✓ passes
2026-03-16T15:40:48 UTC | INFO     | news_impact_scorer | Impact gate: 10 → 10 sectors passed
2026-03-16T15:40:48 UTC | INFO     | main | Momentum gate: 10 → 4 sectors
2026-03-16T15:40:48 UTC | INFO     | sector_mapper | Mapped 0 events → 0 sectors
2026-03-16T15:40:48 UTC | INFO     | sector_validator | Sector real_estate/XLRE: sig1=True sig2=True sig3=False tf_ok=False → REJECTED
2026-03-16T15:40:48 UTC | INFO     | main | Sector real_estate: ETF confirmation failed
2026-03-16T15:40:49 UTC | INFO     | sector_validator | Sector utilities/XLU: sig1=True sig2=True sig3=False tf_ok=False → REJECTED
2026-03-16T15:40:49 UTC | INFO     | main | Sector utilities: ETF confirmation failed
2026-03-16T15:40:49 UTC | INFO     | sector_validator | Sector technology/XLK: sig1=True sig2=True sig3=False tf_ok=False → REJECTED
2026-03-16T15:40:49 UTC | INFO     | main | Sector technology: ETF confirmation failed
2026-03-16T15:40:49 UTC | INFO     | sector_validator | Sector energy/XLE: sig1=True sig2=True sig3=False tf_ok=True → CONFIRMED
2026-03-16T15:40:49 UTC | INFO     | main | Confirmed sectors: ['energy']
2026-03-16T15:40:50 UTC | INFO     | financial_parser | XOM: financials fetched OK (price=157.53)
2026-03-16T15:40:50 UTC | INFO     | main | DEBUG filter XOM: ok=True reason=
2026-03-16T15:40:50 UTC | INFO     | volume_confirmation | XOM volume ratio=0.26 score=0.09 label=lower activity than usual
2026-03-16T15:40:50 UTC | INFO     | risk_adjusted_momentum | XOM RAM raw=19.89 score=1.00
2026-03-16T15:40:50 UTC | INFO     | multi_timeframe_momentum | XOM MTF 1m=5.069036533570967 3m=32.658520104881575 6m=42.623950478384025 score=1.00
2026-03-16T15:40:51 UTC | INFO     | trend_stability | XOM trend stability: dev=0.1060 score=0.00
2026-03-16T15:40:51 UTC | INFO     | drawdown_risk | XOM drawdown=0.0% score=1.00
2026-03-16T15:40:51 UTC | INFO     | risk_model | Risk score: raw=7.2 penalty=0 mult=1.0 final=7.2
2026-03-16T15:40:51 UTC | INFO     | opportunity_model | Opp score: b1=31.3 b2=77.3 b3=46.6 raw=52.7 x1.0 x1.15 = 60.6
