2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=3 spy_above=True vix=15.0 breadth_pct=65.0
2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=15.0 breadth_pct=50.0
2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=25.0 breadth_pct=65.0
2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=None breadth_pct=None
2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=1 spy_above=True vix=25.0 breadth_pct=50.0
2026-04-08T23:17:34 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=None vix=15.0 breadth_pct=65.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=3 spy_above=True vix=15.0 breadth_pct=65.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=15.0 breadth_pct=50.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=25.0 breadth_pct=65.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=None breadth_pct=None
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=1 spy_above=True vix=25.0 breadth_pct=50.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=None vix=15.0 breadth_pct=65.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=25.0 breadth_pct=50.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=1 spy_above=True vix=25.0 breadth_pct=45.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BEAR score=-3 spy_above=False vix=35.0 breadth_pct=35.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BEAR score=-2 spy_above=False vix=25.0 breadth_pct=35.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=BEAR score=-1 spy_above=False vix=25.0 breadth_pct=50.0
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=20.0 breadth_pct=None
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=30.0 breadth_pct=None
2026-04-08T23:18:57 UTC | INFO     | market_regime_classifier | [MRC] regime=NEUTRAL score=0 spy_above=None vix=None breadth_pct=None
2026-04-08T23:26:43 UTC | INFO     | main | ============================================================
2026-04-08T23:26:43 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-04-08T23:26:43 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-04-08T23:26:43 UTC | INFO     | main | ============================================================
2026-04-08T23:26:43 UTC | WARNING  | main | Could not determine slot from time — defaulting to 9:45-11:15
2026-04-08T23:26:43 UTC | INFO     | main | Run slot: 9:45-11:15
2026-04-08T23:26:43 UTC | WARNING  | state_manager | State file missing — starting fresh state
2026-04-08T23:26:43 UTC | INFO     | market_collector | Index dow: 47909.92 Rising (+2.85%)
2026-04-08T23:26:43 UTC | INFO     | market_collector | Index sp500: 6782.81 Rising (+2.51%)
2026-04-08T23:26:43 UTC | INFO     | market_collector | Index nasdaq: 22634.99 Rising (+2.80%)
2026-04-08T23:26:43 UTC | INFO     | market_regime | VIX fetched: 21.04
2026-04-08T23:26:43 UTC | INFO     | market_regime | Regime: normal vix=21.04 risk_mult=1.0 opp_mult=1.0
2026-04-08T23:26:43 UTC | INFO     | main | Regime: normal vix=21.04
2026-04-08T23:27:06 UTC | INFO     | market_breadth | Market breadth: 110/130 advancing (0.85) — strong breadth — most stocks rising
2026-04-08T23:27:06 UTC | INFO     | spy_sma | [SPY] price=676.01 sma200=660.16 above=True
2026-04-08T23:27:17 UTC | INFO     | market_breadth | [B200] 85/125 above 200d SMA = 68.0%
2026-04-08T23:27:17 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=2 spy_above=True vix=21.04 breadth_pct=68.0
2026-04-08T23:27:17 UTC | INFO     | main | [MR] market_regime=BULL score=2 breadth_pct=68.0
2026-04-08T23:27:19 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 3/10 = 0.30 (mixed signals)
2026-04-08T23:27:20 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 8/10 = 0.80 (sector is genuinely strong)
2026-04-08T23:27:22 UTC | INFO     | sector_breadth_ma | Sector breadth MA healthcare: 4/10 = 0.40 (mixed signals)
2026-04-08T23:27:24 UTC | INFO     | sector_breadth_ma | Sector breadth MA financials: 7/10 = 0.70 (healthy participation)
2026-04-08T23:27:25 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_discretionary: 5/10 = 0.50 (mixed signals)
2026-04-08T23:27:28 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_staples: 5/10 = 0.50 (mixed signals)
2026-04-08T23:27:30 UTC | INFO     | sector_breadth_ma | Sector breadth MA industrials: 7/10 = 0.70 (healthy participation)
2026-04-08T23:27:32 UTC | INFO     | sector_breadth_ma | Sector breadth MA defense: 1/10 = 0.10 (sector is structurally weak)
2026-04-08T23:27:34 UTC | INFO     | sector_breadth_ma | Sector breadth MA energy: 10/10 = 1.00 (sector is genuinely strong)
2026-04-08T23:27:36 UTC | INFO     | sector_breadth_ma | Sector breadth MA materials: 7/10 = 0.70 (healthy participation)
2026-04-08T23:27:38 UTC | INFO     | sector_breadth_ma | Sector breadth MA utilities: 10/10 = 1.00 (sector is genuinely strong)
2026-04-08T23:27:40 UTC | INFO     | sector_breadth_ma | Sector breadth MA real_estate: 7/10 = 0.70 (healthy participation)
2026-04-08T23:27:42 UTC | INFO     | sector_breadth_ma | Sector breadth MA communication_services: 2/10 = 0.20 (sector is structurally weak)
2026-04-08T23:27:44 UTC | INFO     | sector_momentum | Top 5 sectors: ['semiconductors', 'technology', 'defense', 'industrials', 'materials']
2026-04-08T23:27:44 UTC | INFO     | sector_momentum | Sector momentum history updated (4 entries)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation technology: rank 4 -> 2 speed=2 (gaining momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation healthcare: rank 7 -> 10 speed=-3 (losing momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation financials: rank 3 -> 7 speed=-4 (rapidly losing strength)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation consumer_discretionary: rank 8 -> 11 speed=-3 (losing momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation consumer_staples: rank 10 -> 12 speed=-2 (losing momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation industrials: rank 6 -> 4 speed=2 (gaining momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation materials: rank 13 -> 5 speed=8 (rapidly gaining strength)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation energy: rank 1 -> 13 speed=-12 (rapidly losing strength)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation utilities: rank 12 -> 9 speed=3 (gaining momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation real_estate: rank 9 -> 6 speed=3 (gaining momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation communication_services: rank 5 -> 8 speed=-3 (losing momentum)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation semiconductors: rank 2 -> 1 speed=1 (stable)
2026-04-08T23:27:44 UTC | INFO     | sector_rotation_speed | Rotation defense: rank 11 -> 3 speed=8 (rapidly gaining strength)
2026-04-08T23:27:44 UTC | INFO     | news_collector | reuters RSS: fetched 0 articles
2026-04-08T23:27:45 UTC | INFO     | news_collector | ft RSS: fetched 11 articles
2026-04-08T23:27:45 UTC | WARNING  | news_collector | FINNHUB_API_KEY not set — skipping Finnhub
2026-04-08T23:27:45 UTC | INFO     | news_collector | Filter: 11 raw → 10 passed
2026-04-08T23:27:45 UTC | INFO     | news_collector | Dedup: 10 → 10 articles
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector gated: defense score=2.7 headlines=1 (need score>=4, headlines>=2)
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector gated: energy score=3.5 headlines=2 (need score>=4, headlines>=2)
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector confirmed: materials score=4.5 headlines=3
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector confirmed: technology score=4.6 headlines=3
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector gated: consumer_discretionary score=2.1 headlines=1 (need score>=4, headlines>=2)
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector gated: industrials score=2.6 headlines=2 (need score>=4, headlines>=2)
2026-04-08T23:27:45 UTC | INFO     | news_collector | Sector gated: financials score=1.1 headlines=1 (need score>=4, headlines>=2)
2026-04-08T23:27:45 UTC | INFO     | news_collector | Confirmed sectors: ['materials', 'technology']
2026-04-08T23:27:45 UTC | INFO     | market_collector | get_index_history dow: 30 points
2026-04-08T23:27:45 UTC | INFO     | market_collector | get_index_history sp500: 30 points
