2026-04-24T14:58:14 UTC | INFO     | main | ============================================================
2026-04-24T14:58:14 UTC | INFO     | main | AUTOMATED STOCK RESEARCH SYSTEM — starting run
2026-04-24T14:58:14 UTC | INFO     | main | DISCLAIMER: This system does NOT perform trading, does NOT give investment advice, and does NOT make price predictions. It is a research data aggregation and scoring tool only.
2026-04-24T14:58:14 UTC | INFO     | main | ============================================================
2026-04-24T14:58:14 UTC | INFO     | main | [SCHEDULER] Time gate passed — matched slot 9:45-11:15
2026-04-24T14:58:14 UTC | WARNING  | main | Validated tickers file is 45 days old (limit 30). Consider re-running validate_tickers.py.
2026-04-24T14:58:14 UTC | INFO     | main | Run slot: 9:45-11:15
2026-04-24T14:58:14 UTC | INFO     | state_manager | New trading day (2026-04-24) — resetting state
2026-04-24T14:58:15 UTC | INFO     | market_collector | Index dow: 49156.80 Falling (-0.31%)
2026-04-24T14:58:15 UTC | INFO     | market_collector | Index sp500: 7139.08 Rising (+0.43%)
2026-04-24T14:58:15 UTC | INFO     | market_collector | Index nasdaq: 24686.53 Rising (+1.01%)
2026-04-24T14:58:15 UTC | INFO     | market_regime | VIX fetched: 18.83
2026-04-24T14:58:15 UTC | INFO     | market_regime | Regime: normal vix=18.83 risk_mult=1.0 opp_mult=1.0
2026-04-24T14:58:15 UTC | INFO     | main | Regime: normal vix=18.83
2026-04-24T14:58:43 UTC | INFO     | market_breadth | Market breadth: 47/130 advancing (0.36) — weak breadth — most stocks declining
2026-04-24T14:58:43 UTC | INFO     | spy_sma | [SPY] price=711.36 sma200=665.51 above=True
2026-04-24T14:58:51 UTC | INFO     | market_breadth | [B200] 83/125 above 200d SMA = 66.4%
2026-04-24T14:58:51 UTC | INFO     | market_regime_classifier | [MRC] regime=BULL score=3 spy_above=True vix=18.83 breadth_pct=66.4
2026-04-24T14:58:51 UTC | INFO     | main | [MR] market_regime=BULL score=3 breadth_pct=66.4
2026-04-24T14:58:52 UTC | INFO     | sector_breadth_ma | Sector breadth MA technology: 8/10 = 0.80 (sector is genuinely strong)
2026-04-24T14:58:53 UTC | INFO     | sector_breadth_ma | Sector breadth MA semiconductors: 10/10 = 1.00 (sector is genuinely strong)
2026-04-24T14:58:54 UTC | INFO     | sector_breadth_ma | Sector breadth MA healthcare: 1/10 = 0.10 (sector is structurally weak)
2026-04-24T14:58:55 UTC | INFO     | sector_breadth_ma | Sector breadth MA financials: 7/10 = 0.70 (healthy participation)
2026-04-24T14:58:56 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_discretionary: 4/10 = 0.40 (mixed signals)
2026-04-24T14:58:57 UTC | INFO     | sector_breadth_ma | Sector breadth MA consumer_staples: 4/10 = 0.40 (mixed signals)
2026-04-24T14:58:58 UTC | INFO     | sector_breadth_ma | Sector breadth MA industrials: 7/10 = 0.70 (healthy participation)
2026-04-24T14:58:59 UTC | INFO     | sector_breadth_ma | Sector breadth MA defense: 1/10 = 0.10 (sector is structurally weak)
2026-04-24T14:59:00 UTC | INFO     | sector_breadth_ma | Sector breadth MA energy: 7/10 = 0.70 (healthy participation)
2026-04-24T14:59:01 UTC | INFO     | sector_breadth_ma | Sector breadth MA materials: 7/10 = 0.70 (healthy participation)
2026-04-24T14:59:02 UTC | INFO     | sector_breadth_ma | Sector breadth MA utilities: 3/10 = 0.30 (mixed signals)
2026-04-24T14:59:03 UTC | INFO     | sector_breadth_ma | Sector breadth MA real_estate: 8/10 = 0.80 (sector is genuinely strong)
2026-04-24T14:59:04 UTC | INFO     | sector_breadth_ma | Sector breadth MA communication_services: 3/10 = 0.30 (mixed signals)
2026-04-24T14:59:07 UTC | INFO     | sector_momentum | Top 5 sectors: ['semiconductors', 'technology', 'energy', 'consumer_staples', 'real_estate']
2026-04-24T14:59:07 UTC | INFO     | sector_momentum | Sector momentum history updated (6 entries)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation technology: rank 4 -> 2 speed=2 (gaining momentum)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation healthcare: rank 7 -> 12 speed=-5 (rapidly losing strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation financials: rank 3 -> 10 speed=-7 (rapidly losing strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation consumer_discretionary: rank 8 -> 6 speed=2 (gaining momentum)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation consumer_staples: rank 10 -> 4 speed=6 (rapidly gaining strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation industrials: rank 6 -> 9 speed=-3 (losing momentum)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation materials: rank 13 -> 7 speed=6 (rapidly gaining strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation energy: rank 1 -> 3 speed=-2 (losing momentum)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation utilities: rank 12 -> 8 speed=4 (rapidly gaining strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation real_estate: rank 9 -> 5 speed=4 (rapidly gaining strength)
2026-04-24T14:59:07 UTC | INFO     | sector_rotation_speed | Rotation communication_services: rank 5 -> 11 speed=-6 (rapidly losing strength)
